№,Время последней сделки,Название,Тикер,"Цена, посл","Изм, %","Объем, млн руб","1 нед, %","1 м, %","ytd, %","ytd, %",Капит-я млрд руб,Капит-я млрд $,ИзмОбъема
110,18:39:25,Ренессанс,RENI,43.81,0%,2.75,-0.4%,+8.6%,-56.6%,-56.6%,24.40,0.43,+446%
111,18:36:23,ДагСб ао,DASB,0.1421,-0.84%,2.66,-0.6%,-12.0%,-29.5%,-29.5%,0.75,0.01,+49%
112,18:33:50,ТГК-2 ап,TGKBP,0.0058,+2.84%,2.56,+1.8%,-6.5%,-11.7%,-11.7%,5.79,0.10,+422%
113,18:39:55,РязЭнСб,RZSB,16.2,+2.92%,2.50,-0.6%,-23.7%,-8.7%,-8.7%,3.36,0.06,-66%
114,18:39:36,Лензол. ап,LNZLP,1635,-0.3%,2.43,-0.9%,-15.1%,-0.3%,-0.3%,10.87,0.19,-12%
115,18:34:48,Куйбазот-п,KAZTP,434.8,+0.42%,2.37,+2.8%,-8.3%,+8.9%,+8.9%,99.44,1.75,+89%
116,18:32:18,КоршГОК ао,KOGK,37400,+1.63%,2.31,+2.7%,-7.9%,-26.1%,-26.1%,9.35,0.16,+349%
117,18:38:51,ОргСинт ап,KZOSP,16.27,+0.37%,2.30,+4.6%,-14.8%,-37.9%,-37.9%,130.83,2.31,-48%
118,18:39:25,Аптеки36и6,APTK,12.21,+0.02%,2.07,+0.4%,-2.4%,-12.5%,-12.5%,93.06,1.64,+226%
119,18:34:13,ТНСэнВорон,VRSB,160,0%,1.95,-2.3%,-2.1%,-25.7%,-25.7%,10.58,0.19,+68%
120,18:39:11,Россети ап,RSTIP,1.289,+0.47%,1.91,+5.1%,-12.0%,-27.5%,-27.5%,123.26,2.17,-34%
121,18:15:11,ТНСэнМарЭл,MISB,16.6,+3.75%,1.78,+7.1%,+14.5%,+15.3%,+15.3%,2.19,0.04,+1572%
122,18:22:25,Лензолото,LNZL,9030,+0.33%,1.67,-0.2%,-10.9%,-1.8%,-1.8%,10.87,0.19,-22%
123,18:22:33,ТНСэМаЭл-п,MISBP,15.5,+3.33%,1.55,+4.7%,+39.6%,+49.0%,+49.0%,2.19,0.04,+60%
124,18:37:23,РСетиЛЭ,LSNG,6.83,-0.73%,1.50,-0.3%,-15.6%,-18.1%,-18.1%,70.95,1.25,+15%
125,18:17:51,iHHRU-адр,HHRU,922,-1.5%,1.46,+4.8%,-38.5%,-76.0%,-76.0%,46.39,0.82,-33%
126,18:39:20,БурЗолото,BRZL,859,0%,1.43,-0.1%,-8.6%,-21.7%,-21.7%,6.09,0.11,+4084%
127,18:37:33,КМЗ,KMEZ,884,+4.99%,1.41,+5.7%,-1.7%,-14.9%,-14.9%,3.33,0.06,+3804%
128,18:39:42,Ижсталь ап,IGSTP,2270,+6.47%,1.32,+5.7%,-11.1%,+5.6%,+5.6%,2.43,0.04,+1220%
129,18:27:35,Красэсб ао,KRSB,7.32,-1.48%,1.27,-1.9%,-25.6%,-15.1%,-15.1%,5.73,0.10,+46%
130,18:37:57,Россети СК,MRKK,11.78,0%,1.25,-9.8%,-39.1%,-56.8%,-56.8%,10.49,0.19,-58%
131,18:23:10,ЭсЭфАй ао,SFIN,534.4,+0.64%,1.22,-0.2%,+17.5%,+1.6%,+1.6%,59.66,1.05,-43%
132,18:38:43,ГИТ ао,GRNT,0.1975,+0.51%,1.20,-1.3%,-19.2%,-44.1%,-44.1%,0.23,0.00,+4%
133,18:39:13,Таттел. ао,TTLK,0.488,-2.3%,1.20,+8.0%,-15.5%,-15.7%,-15.7%,10.29,0.18,-63%
134,18:10:08,УрКузница,URKZ,11040,+5.75%,1.19,+9.3%,-0.2%,-32.1%,-32.1%,6.05,0.11,+616%
135,18:33:37,Ижсталь2ао,IGST,2250,+4.55%,1.17,+3.9%,-18.4%,-11.6%,-11.6%,2.43,0.04,+3303%
136,18:34:43,ДЭК ао,DVEC,0.964,+0.1%,1.13,+2.9%,-7.4%,-22.3%,-22.3%,16.67,0.29,-34%
137,18:37:25,РСетиСЗ ао,MRKZ,0.0292,0%,1.12,+3.7%,-5.2%,-43.9%,-43.9%,2.80,0.05,-32%
138,18:36:53,МГТС-4ап,MGTSP,690,+1.77%,1.09,+3.6%,-14.4%,-41.4%,-41.4%,134.25,2.37,+79%
139,18:38:17,КрасОкт-1п,KROTP,236,+3.51%,1.06,+8.3%,-8.0%,-18.3%,-18.3%,3.20,0.06,+9329%
140,18:35:16,Белон ао,BLNG,10.2,-0.63%,1.02,-1.6%,-5.6%,-10.6%,-10.6%,11.73,0.21,+5%
141,18:39:53,АйсCтим ао,SIBG,0.0525,-6.25%,1.01,+9.4%,-8.7%,-48.5%,-48.5%,0.03,0.00,-82%
142,18:39:13,iММЦБ ао,GEMA,701.5,+0.07%,0.95,+1.3%,+0.5%,-29.8%,-29.8%,1.04,0.02,+323%
143,18:38:20,ЗаводДИОД,DIOD,8.36,-0.12%,0.90,+2.2%,+18.8%,+5.2%,+5.2%,0.76,0.01,-5%
144,18:39:40,УралСиб ао,USBN,0.0625,+1.63%,0.88,+5.0%,-12.0%,-35.4%,-35.4%,22.47,0.40,+107%
145,18:34:45,ЗИЛ ао,ZILL,3110,-0.48%,0.88,-2.5%,+6.5%,-22.4%,-22.4%,8.27,0.15,+598%
146,18:31:32,РсетСиб ао,MRKS,0.2695,+1.51%,0.84,+4.7%,-10.5%,-22.9%,-22.9%,25.51,0.45,-11%
147,18:37:46,OKEY-гдр,OKEY,17.55,-1.57%,0.82,+0.3%,-24.8%,-59.1%,-59.1%,4.72,0.08,-48%
148,18:24:35,ЮТэйр ао,UTAR,6.7,-0.59%,0.82,+0.3%,-8.6%,-12.0%,-12.0%,52.90,0.93,-65%
149,18:38:58,НКХП ао,NKHP,330,+0.46%,0.77,-0.5%,-1.5%,+13.8%,+13.8%,22.31,0.39,-58%
150,18:22:23,СОЛЛЕРС,SVAV,176,+0.57%,0.77,+1.7%,-2.2%,-18.7%,-18.7%,6.03,0.11,+602%
151,18:39:43,РсетВол ао,MRKV,0.0309,-0.64%,0.73,+3.2%,-3.4%,-37.6%,-37.6%,5.82,0.10,-19%
